epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,47.0821,0.53087,1.33062,4.3394,0.01031,2.18259,1,0.12197,0.54861,0.4468,1,0.12197,0.54139,0.49126,0.49243,0.90966,10.1388,0.0157,0,0.000657005,0.000657005,0.000657005
2,83.1307,0.65219,0.61118,2.59337,0.01316,0.32566,0.90189,0.87407,0.95146,0.6604,0.90189,0.87407,0.95146,0.88086,1.12276,0.48106,5.55564,0.03944,0,0.00132353,0.00132353,0.00132353
3,125.84,0.72735,0.63984,1.66292,0.01433,0.33344,0.7182,0.57037,0.60463,0.24725,0.76038,0.59259,0.67352,0.38047,2.2633,13.8296,5.39452,0.08865,0,0.00198947,0.00198947,0.00198947
4,162.786,0.73257,0.62448,1.1504,0.01463,0.31758,0.92935,0.94074,0.98199,0.65608,0.92935,0.94074,0.98199,0.93022,1.20672,0.382,1.76369,0.04751,0,0.00199805,0.00199805,0.00199805
5,198.17,0.74495,0.61046,0.81129,0.01483,0.29834,0.93642,0.98184,0.98865,0.78049,0.93642,0.98184,0.98865,0.94018,0.78681,0.46105,1.17926,0.02976,0,0.00199653,0.00199653,0.00199653
6,233.965,0.68937,0.59278,0.64221,0.01417,0.3178,0.54287,0.52593,0.49948,0.13959,0.42476,0.15556,0.17316,0.02596,3.20939,16.3462,2.69469,0.13856,0,0.00199458,0.00199458,0.00199458
7,270.667,0.71021,0.59356,0.54462,0.01379,0.29912,0.89879,0.85519,0.95179,0.80746,0.89879,0.85519,0.95179,0.84202,0.62507,0.97704,0.89086,0.02063,0,0.00199219,0.00199219,0.00199219
8,305.82,0.66963,0.58779,0.4797,0.01312,0.29344,0.95056,0.85448,0.95065,0.73387,0.95056,0.85448,0.95124,0.8489,0.82095,0.96045,0.9869,0.027,0,0.00198938,0.00198938,0.00198938
9,341.412,0.60147,0.55645,0.38516,0.01175,0.26697,0.94936,0.9037,0.98048,0.82876,0.94936,0.9037,0.98048,0.92503,0.64541,0.35277,0.58954,0.02256,0,0.00198614,0.00198614,0.00198614
10,376.901,0.58483,0.50919,0.35864,0.01141,0.2503,0.97737,0.95984,0.99066,0.8318,0.97737,0.95984,0.99066,0.93511,0.66278,0.35101,0.39847,0.0226,0,0.00198246,0.00198246,0.00198246
11,411.761,0.57738,0.53449,0.33079,0.01106,0.2568,0.97788,0.98219,0.99251,0.85833,0.97788,0.98219,0.99251,0.89773,0.53759,0.62743,0.3376,0.01981,0,0.00197837,0.00197837,0.00197837
12,447.967,0.62162,0.53385,0.33466,0.01192,0.2746,0.95586,0.96296,0.99035,0.86141,0.95586,0.96296,0.99035,0.95297,0.57766,0.36363,0.32269,0.02105,0,0.00197384,0.00197384,0.00197384
13,482.967,0.61024,0.51792,0.33998,0.01195,0.25812,0.91174,0.91111,0.94138,0.45173,0.86536,0.80939,0.83,0.26258,2.03271,1.80306,1.28541,0.07233,0,0.0019689,0.0019689,0.0019689
14,517.737,0.57176,0.5278,0.29792,0.01101,0.25483,0.9808,0.97778,0.99353,0.88055,0.9808,0.97778,0.99353,0.93245,0.47653,0.38354,0.25964,0.01605,0,0.00196353,0.00196353,0.00196353
15,554.844,0.55504,0.51954,0.302,0.01061,0.24104,0.84651,0.66667,0.7741,0.55463,0.79008,0.62222,0.64091,0.45333,1.5661,1.96722,1.38881,0.05989,0,0.00195775,0.00195775,0.00195775
16,589.879,0.57175,0.54347,0.28581,0.01067,0.25576,0.98398,0.98519,0.99396,0.84965,0.98398,0.98519,0.99396,0.94261,0.62813,0.34714,0.28378,0.02196,0,0.00195155,0.00195155,0.00195155
17,625.746,0.55363,0.52275,0.29197,0.01039,0.24567,0.96409,0.99435,0.99411,0.84817,0.96409,0.99435,0.99411,0.92076,0.57363,0.49352,0.23448,0.01953,0,0.00194493,0.00194493,0.00194493
18,662.595,0.53362,0.5136,0.25335,0.01041,0.26707,0.98978,0.96296,0.99339,0.85361,0.98978,0.96296,0.99339,0.92986,0.58475,0.38667,0.24236,0.02053,0,0.00193791,0.00193791,0.00193791
19,698.853,0.50171,0.50475,0.27226,0.00922,0.24221,0.98041,0.98519,0.99448,0.82835,0.98041,0.98519,0.99448,0.93397,0.62466,0.3619,0.28034,0.02284,0,0.00193048,0.00193048,0.00193048
20,736.929,0.54288,0.51866,0.27512,0.00998,0.2728,0.97792,0.9843,0.99398,0.82219,0.97792,0.9843,0.99398,0.91195,0.60208,0.42019,0.24269,0.02031,0,0.00192264,0.00192264,0.00192264
21,772.792,0.51727,0.48672,0.25879,0.00976,0.23026,1,0.9698,0.99407,0.86293,1,0.9698,0.99407,0.9389,0.56401,0.36224,0.21012,0.01923,0,0.00191441,0.00191441,0.00191441
22,808.653,0.53031,0.49688,0.25085,0.01018,0.25423,0.99263,0.99713,0.99493,0.81148,0.99263,0.99713,0.99493,0.93625,0.72716,0.35595,0.22669,0.02451,0,0.00190578,0.00190578,0.00190578
23,844.597,0.52455,0.50704,0.27304,0.00977,0.26009,0.99258,0.99033,0.99478,0.82965,0.99258,0.99033,0.99478,0.94086,0.69282,0.31905,0.23176,0.02322,0,0.00189675,0.00189675,0.00189675
24,879.722,0.548,0.50834,0.2677,0.01085,0.24838,1,0.99238,0.995,0.90028,1,0.99238,0.995,0.9628,0.45438,0.40985,0.16884,0.0156,0,0.00188734,0.00188734,0.00188734
25,916.38,0.52862,0.51598,0.24754,0.00996,0.26244,0.97104,0.99338,0.99411,0.92014,0.97104,0.99338,0.99411,0.95107,0.38108,0.33381,0.16586,0.012,0,0.00187754,0.00187754,0.00187754
26,951.984,0.51867,0.48532,0.24537,0.00999,0.21283,0.91603,0.75556,0.89303,0.67086,0.88812,0.7037,0.84508,0.67532,1.1891,0.93078,0.91421,0.03903,0,0.00186737,0.00186737,0.00186737
27,986.573,0.51897,0.50612,0.23695,0.00958,0.2386,1,0.97656,0.99377,0.8867,1,0.97656,0.99377,0.91375,0.50356,0.55031,0.24602,0.01668,0,0.00185681,0.00185681,0.00185681
28,1023.76,0.48882,0.45197,0.23866,0.00912,0.21886,0.99264,0.99877,0.99493,0.88617,0.99264,0.99877,0.99493,0.94706,0.47328,0.34563,0.16414,0.0171,0,0.00184588,0.00184588,0.00184588
